지역,연봉,기업수
kyung-5,3600만 이상,2 
kyung-5,3800만 이상,2 
kyung-5,4000만 이상,2 
kyung-5,5000만 이상,2 
kyung-5,6000만 이상,0 
kyung-5,7000만 이상,0 
kyung-5,8000만 이상,0 
kyung-6,2400만 이상,5 
kyung-6,2600만 이상,3 
kyung-6,2800만 이상,3 
kyung-6,3000만 이상,3 
kyung-6,3200만 이상,1 
kyung-6,3400만 이상,0 
kyung-6,3600만 이상,0 
kyung-6,3800만 이상,0 
kyung-6,4000만 이상,0 
kyung-6,5000만 이상,0 
kyung-6,6000만 이상,0 
kyung-6,7000만 이상,0 
kyung-6,8000만 이상,0 
kyung-7,2400만 이상,10 
kyung-7,2600만 이상,9 
kyung-7,2800만 이상,6 
kyung-7,3000만 이상,6 
kyung-7,3200만 이상,5 
kyung-7,3400만 이상,1 
kyung-7,3600만 이상,1 
kyung-7,3800만 이상,0 
kyung-7,4000만 이상,0 
kyung-7,5000만 이상,0 
kyung-7,6000만 이상,0 
kyung-7,7000만 이상,0 
kyung-7,8000만 이상,0 
kyung-8,2400만 이상,3 
kyung-8,2600만 이상,2 
kyung-8,2800만 이상,2 
kyung-8,3000만 이상,2 
kyung-8,3200만 이상,2 
kyung-8,3400만 이상,2 
kyung-8,3600만 이상,2 
kyung-8,3800만 이상,2 
kyung-8,4000만 이상,2 
kyung-8,5000만 이상,1 
kyung-8,6000만 이상,1 
kyung-8,7000만 이상,1 
kyung-8,8000만 이상,1 
kyung-9,2400만 이상,7 
kyung-9,2600만 이상,7 
kyung-9,2800만 이상,5 
kyung-9,3000만 이상,4 
kyung-9,3200만 이상,4 
kyung-9,3400만 이상,3 
kyung-9,3600만 이상,3 
kyung-9,3800만 이상,2 
kyung-9,4000만 이상,0 
kyung-9,5000만 이상,0 
kyung-9,6000만 이상,0 
kyung-9,7000만 이상,0 
kyung-9,8000만 이상,0 
kyung-10,2400만 이상,2 
kyung-10,2600만 이상,2 
kyung-10,2800만 이상,1 
kyung-10,3000만 이상,1 
kyung-10,3200만 이상,1 
kyung-10,3400만 이상,1 
kyung-10,3600만 이상,1 
kyung-10,3800만 이상,1 
kyung-10,4000만 이상,1 
kyung-10,5000만 이상,1 
kyung-10,6000만 이상,0 
kyung-10,7000만 이상,0 
kyung-10,8000만 이상,0 
kyung-11,2400만 이상,2 
kyung-11,2600만 이상,2 
kyung-11,2800만 이상,1 
kyung-11,3000만 이상,1 
kyung-11,3200만 이상,0 
kyung-11,3400만 이상,0 
kyung-11,3600만 이상,0 
kyung-11,3800만 이상,0 
kyung-11,4000만 이상,0 
kyung-11,5000만 이상,0 
kyung-11,6000만 이상,0 
kyung-11,7000만 이상,0 
kyung-11,8000만 이상,0 
kyung-12,2400만 이상,9 
kyung-12,2600만 이상,8 
kyung-12,2800만 이상,5 
kyung-12,3000만 이상,5 
kyung-12,3200만 이상,4 
kyung-12,3400만 이상,4 
kyung-12,3600만 이상,4 
kyung-12,3800만 이상,2 
kyung-12,4000만 이상,0 
kyung-12,5000만 이상,0 
kyung-12,6000만 이상,0 
kyung-12,7000만 이상,0 
kyung-12,8000만 이상,0 
kyung-13,2400만 이상,1 
kyung-13,2600만 이상,0 
kyung-13,2800만 이상,0 
kyung-13,3000만 이상,0 
kyung-13,3200만 이상,0 
kyung-13,3400만 이상,0 
kyung-13,3600만 이상,0 
kyung-13,3800만 이상,0 
kyung-13,4000만 이상,0 
kyung-13,5000만 이상,0 
kyung-13,6000만 이상,0 
kyung-13,7000만 이상,0 
kyung-13,8000만 이상,0 
kyung-14,2400만 이상,14 
kyung-14,2600만 이상,13 
kyung-14,2800만 이상,8 
kyung-14,3000만 이상,8 
kyung-14,3200만 이상,5 
kyung-14,3400만 이상,2 
kyung-14,3600만 이상,2 
kyung-14,3800만 이상,2 
kyung-14,4000만 이상,2 
kyung-14,5000만 이상,2 
kyung-14,6000만 이상,0 
kyung-14,7000만 이상,0 
kyung-14,8000만 이상,0 
kyung-15,2400만 이상,0 
kyung-15,2600만 이상,0 
kyung-15,2800만 이상,0 
kyung-15,3000만 이상,0 
kyung-15,3200만 이상,0 
kyung-15,3400만 이상,0 
kyung-15,3600만 이상,0 
kyung-15,3800만 이상,0 
kyung-15,4000만 이상,0 
kyung-15,5000만 이상,0 
kyung-15,6000만 이상,0 
kyung-15,7000만 이상,0 
kyung-15,8000만 이상,0 
